24-Sep-2014 12:53:10
Loading and Visualizing Data ...

Initializing Neural Network Parameters ...

Training Neural Network... 
Iteration    1 | Accuracy: 13.10 | Time:    144.7
Iteration  249 | Accuracy: 66.58 | Time: 321819.2
Iteration  250 | Accuracy: 66.58 | Time: 323373.4
Iteration  251 | Accuracy: 66.58 | Time: 325190.9
Iteration  252 | Accuracy: 66.58 | Time: 326741.9
Iteration  253 | Accuracy: 66.58 | Time: 328284.5
Iteration  254 | Accuracy: 66.58 | Time: 329854.3
Iteration  255 | Accuracy: 66.58 | Time: 331411.5
Iteration  256 | Accuracy: 66.58 | Time: 332995.0
Iteration  257 | Accuracy: 68.02 | Time: 333203.1
Iteration  258 | Accuracy: 68.02 | Time: 335056.4
Iteration  259 | Accuracy: 68.02 | Time: 336833.8
Iteration  260 | Accuracy: 68.02 | Time: 338795.2
Iteration  261 | Accuracy: 68.02 | Time: 340430.6
Iteration  262 | Accuracy: 68.02 | Time: 342007.0
Iteration  263 | Accuracy: 68.02 | Time: 343885.1
Iteration  264 | Accuracy: 68.02 | Time: 345425.8
Iteration  265 | Accuracy: 68.02 | Time: 346955.8
Iteration  266 | Accuracy: 68.02 | Time: 348521.2
Iteration  267 | Accuracy: 68.02 | Time: 350239.3
Iteration  268 | Accuracy: 68.02 | Time: 351812.6
Iteration  269 | Accuracy: 68.02 | Time: 353564.2
Iteration  270 | Accuracy: 68.02 | Time: 355288.8
Iteration  271 | Accuracy: 68.02 | Time: 356811.2
Iteration  272 | Accuracy: 68.02 | Time: 358358.2
Iteration  273 | Accuracy: 68.02 | Time: 359914.7
Iteration  274 | Accuracy: 68.02 | Time: 361449.3
Iteration  275 | Accuracy: 68.02 | Time: 362983.0
Iteration  276 | Accuracy: 68.02 | Time: 364568.3
Iteration  277 | Accuracy: 68.02 | Time: 366130.7
Iteration  278 | Accuracy: 68.02 | Time: 367673.0
Iteration  279 | Accuracy: 68.02 | Time: 369199.5
Iteration  280 | Accuracy: 68.02 | Time: 370731.0
Iteration  281 | Accuracy: 68.02 | Time: 372258.1
Iteration  282 | Accuracy: 67.94 | Time: 372716.5
Iteration  283 | Accuracy: 67.94 | Time: 374247.3
Iteration  284 | Accuracy: 67.94 | Time: 375777.8
Iteration  285 | Accuracy: 67.94 | Time: 377517.7
Iteration  286 | Accuracy: 67.94 | Time: 379236.7
Iteration  287 | Accuracy: 67.94 | Time: 380766.3
Iteration  288 | Accuracy: 67.94 | Time: 382297.3
Iteration  289 | Accuracy: 69.64 | Time: 382505.8
Iteration  290 | Accuracy: 69.64 | Time: 384202.2
Iteration  291 | Accuracy: 69.64 | Time: 385732.1
Iteration  292 | Accuracy: 69.64 | Time: 387295.6
Iteration  293 | Accuracy: 69.64 | Time: 388852.6
Iteration  294 | Accuracy: 69.88 | Time: 389219.8
Iteration  295 | Accuracy: 69.88 | Time: 390758.2
Iteration  296 | Accuracy: 69.88 | Time: 392327.1
Iteration  297 | Accuracy: 69.88 | Time: 393879.2
Iteration  298 | Accuracy: 69.88 | Time: 395429.2
Iteration  299 | Accuracy: 69.88 | Time: 397003.2
Iteration  300 | Accuracy: 69.70 | Time: 397373.2
